VAA20

Projekt-ID	729893
URL der Umfrage	https://ww2.unipark.de/uc/mauve_Heinrich-Heine-Universit__/dec0/
Datum	09.12.2020 10:46:21

1 Seite: System (PGID 4650162)


3 Seite: Politisches Interesse 1 (PGID 4822338)

Wie sehr stimmen Sie folgenden Aussagen zu? (q_8841496 - Typ 311)
v_17	v_17	int	kann ich meine Meinung (Zustimmung/Ablehnung) zu politischen Thesen angeben.
		1	Richtig
		2	Falsch
v_18	v_18	int	kann ich angeben, warum ich einer These zustimme bzw. sie ablehne.
		1	Richtig
		2	Falsch
v_19	v_19	int	kann ich am Ende sehen, welche Argumente Parteien zu einer These anführen.
		1	Richtig
		2	Falsch
v_22	v_22	int	kann ich Nachrichten an Parteien schicken.
		1	Richtig
		2	Falsch



10 Seite: Aufgaben (PGID 4650326)

Es gab in ArgVote verschiedene Funktionen. Unabhängig davon, ob Sie eine Funktion tatsächlich benutzt haben – Welche Funktionen gab es? (q_8522134 - Typ 311)
v_27	v_27	int	Ich wurde aufgefordert, zu verschiedenen politischen Thesen meine Meinung (Zustimmung/Neutral/Ablehnung) anzugeben.
		1	Ja
		2	Nein
v_28	v_28	int	Es war möglich, eine These zu überspringen (also weder zuzustimmen, noch abzulehnen oder neutral zu sein).
		1	Ja
		2	Nein
v_29	v_29	int	Ich konnte Argumente auswählen, um zu begründen, weshalb ich für/gegen eine These bin.
		1	Ja
		2	Nein
v_30	v_30	int	Ich konnte mir anzeigen lassen, welche Argumente die Parteien zu einer These angegeben haben.
		1	Ja
		2	Nein
v_31	v_31	int	Ich musste eine Nachricht an eine Partei meiner Wahl schreiben.
		1	Ja
		2	Nein



10.1 Seite: Qualityfail: Aufgaben (PGID 4650344)

Filter
 	 v_31 Ich musste eine Nachricht an eine Partei meiner Wahl schreiben.	 Es gab in ArgVote verschiedene Funktionen. Unabhängig davon, ob Sie eine Funktion tatsächlich benutzt haben – Welche Funktionen gab es? - Ich musste eine Nachricht an eine Partei meiner Wahl schreiben. 	gleich	1


11 Seite: Benutzung (PGID 4650342)

Welche der folgenden Funktionen haben Sie benutzt? Ich habe davon Gebrauch gemacht, … (q_8522175 - Typ 311)
v_32	v_32	int	einem Argument zu einer These zuzustimmen oder abzulehnen.
		1	Nie
		2	manchmal
		3	oft
		4	Ich wusste nicht, dass es diese Funktion gibt.
			^ Ausblenden wenn : (check_character_filter['vaa', v_84])
v_33	v_33	int	eine These als besonders wichtig zu markieren.
		1	Nie
		2	manchmal
		3	oft
		4	Ich wusste nicht, dass es diese Funktion gibt.
v_34	v_34	int	ein Argument als besonders wichtig zu markieren.
		1	Nie
		2	manchmal
		3	oft
		4	Ich wusste nicht, dass es diese Funktion gibt.
			^ Ausblenden wenn : (check_character_filter['vaa', v_84])
v_35	v_35	int	mir die Argumente anzusehen, bevor ich meine Meinung zu einer These abgegeben habe.
		1	Nie
		2	manchmal
		3	oft
		4	Ich wusste nicht, dass es diese Funktion gibt.
			^ Ausblenden wenn : (check_character_filter['vaa', v_84])
v_36	v_36	int	mir am Ende anzusehen, welchen Argumente die Parteien verwendet haben.
		1	Nie
		2	manchmal
		3	oft
		4	Ich wusste nicht, dass es diese Funktion gibt.
v_75	v_75	int	Begründungen zu einem Argument anzusehen (Button „mehr …“)
		1	Nie
		2	manchmal
		3	oft
		4	Ich wusste nicht, dass es diese Funktion gibt.
			^ Ausblenden wenn : (check_character_filter['vaa', v_84])



12 Seite: Nützlichkeit (PGID 4650389)

Wie nützlich fanden Sie die Funktion, … (q_8522315 - Typ 311)
v_37	v_37	int	… die Argumente der Parteien am Ende sehen zu können.
		1	überhaupt nicht nützlich
		2	 
		3	 
		4	 
		5	sehr nützlich
			^ Ausblenden wenn : (v_36 = '4')
